Nome do Repositório,Descrição,URL,Criado em,Idade do Repositório (dias),Última Atualização,Tempo desde última atualização (dias),Linguagem Principal,Total PRs Mesclados,Total de Releases,Total de Issues,Total de Issues Fechadas
pytorch-image-models,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT), MobileNetV4, MobileNet-V3 & V2, RegNet, DPN, CSPNet, Swin Transformer, MaxViT, CoAtNet, ConvNeXt, and more",https://github.com/huggingface/pytorch-image-models,02-02-2019,2220,23-02-2025,7,Python,439,65,957,908
windows,Windows inside a Docker container.,https://github.com/dockur/windows,14-01-2024,413,01-03-2025,1,Shell,337,85,668,649
framework,The Laravel Framework.,https://github.com/laravel/framework,10-01-2013,4434,28-02-2025,2,PHP,15994,804,18563,18544
brackets,"An open source code editor for the web, written in JavaScript, HTML and CSS.",https://github.com/adobe/brackets,07-12-2011,4834,12-06-2022,994,JavaScript,4332,69,9683,7066
XX-Net,A proxy tool to bypass GFW.,https://github.com/XX-net/XX-Net,15-01-2015,3699,20-12-2024,72,Python,362,388,13314,5414
husky,Git hooks made easy 🐶 woof!,https://github.com/typicode/husky,23-06-2014,3905,26-11-2024,96,JavaScript,262,80,1073,1013
easyexcel,快速、简洁、解决大文件内存溢出的java处理Excel工具,https://github.com/alibaba/easyexcel,06-02-2018,2581,29-10-2024,124,Java,190,14,3577,3114
leetcode,🔥LeetCode solutions in any programming language | 多种编程语言实现 LeetCode、《剑指 Offer（第 2 版）》、《程序员面试金典（第 6 版）》题解,https://github.com/doocs/leetcode,16-09-2018,2359,02-03-2025,0,Java,3702,21,50,48
fastify,"Fast and low overhead web framework, for Node.js",https://github.com/fastify/fastify,28-09-2016,3077,01-03-2025,1,JavaScript,2947,290,2039,1977
zxing,"ZXing (""Zebra Crossing"") barcode scanning library for Java, Android",https://github.com/zxing/zxing,12-10-2011,4890,10-02-2025,20,Java,317,31,1301,1292
gulp,A toolkit to automate & enhance your workflow,https://github.com/gulpjs/gulp,04-07-2013,4259,31-05-2024,275,JavaScript,405,23,1934,1906
solid,"A declarative, efficient, and flexible JavaScript library for building user interfaces.",https://github.com/solidjs/solid,24-04-2018,2504,01-03-2025,1,TypeScript,371,35,1055,954
NewPipe,A libre lightweight streaming front-end for Android.,https://github.com/TeamNewPipe/NewPipe,03-09-2015,3468,28-02-2025,2,Java,1608,135,9296,8116
Coursera-ML-AndrewNg-Notes,吴恩达老师的机器学习课程个人笔记,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes,04-11-2017,2675,10-06-2024,265,HTML,13,0,68,15
unsloth,"Finetune Llama 3.3, DeepSeek-R1 & Reasoning LLMs 2x faster with 70% less memory! 🦥",https://github.com/unslothai/unsloth,29-11-2023,459,02-03-2025,0,Python,300,11,1457,675
AgentGPT,"🤖 Assemble, configure, and deploy autonomous AI Agents in your browser.",https://github.com/reworkd/AgentGPT,07-04-2023,695,07-10-2024,146,TypeScript,539,12,462,337
immutable-js,Immutable persistent data collections for Javascript which increase efficiency and simplicity.,https://github.com/immutable-js/immutable-js,02-07-2014,3896,26-02-2025,4,TypeScript,539,85,1253,1147
JavaScript,"Algorithms and Data Structures implemented in JavaScript for beginners, following best practices.",https://github.com/TheAlgorithms/JavaScript,13-07-2017,2789,22-01-2025,39,JavaScript,795,0,203,196
payload,"Payload is the open-source, fullstack Next.js framework, giving you instant backend superpowers. Get a full TypeScript backend and admin panel instantly. Use Payload as a headless CMS or for building powerful applications.",https://github.com/payloadcms/payload,05-01-2021,1517,02-03-2025,0,TypeScript,4907,487,3190,2928
linux-command,Linux命令大全搜索工具，内容包含Linux命令手册、详解、学习、搜集。https://git.io/linux,https://github.com/jaywcjlove/linux-command,12-11-2016,3032,25-02-2025,5,Markdown,347,30,195,124
milvus,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",https://github.com/milvus-io/milvus,16-09-2019,1994,02-03-2025,0,Go,21214,109,12828,12207
ijkplayer,"Android/iOS video player based on FFmpeg n3.4, with MediaCodec, VideoToolbox support.",https://github.com/bilibili/ijkplayer,03-06-2013,4290,13-08-2024,201,C,35,0,5362,2540
legado,"Legado 3.0 Book Reader with powerful controls & full functions❤️阅读3.0, 阅读是一款可以自定义来源阅读网络内容的工具，为广大网络文学爱好者提供一种方便、快捷舒适的试读体验。",https://github.com/gedoor/legado,22-05-2019,2111,02-03-2025,0,Kotlin,1079,115,2654,2578
poetry,Python packaging and dependency management made easy,https://github.com/python-poetry/poetry,28-02-2018,2559,28-02-2025,2,Python,2271,139,6091,5622
plane,"🔥 🔥 🔥 Open Source JIRA, Linear, Monday, and Asana Alternative. Plane helps you track your issues, epics, and cycles the easiest way on the planet.",https://github.com/makeplane/plane,19-11-2022,834,28-02-2025,2,TypeScript,4981,40,1124,710
carbon-lang,"Carbon Language's main repository: documents, design, implementation, and related tools. (NOTE: Carbon Language is experimental; see README)",https://github.com/carbon-language/carbon-lang,27-04-2020,1770,02-03-2025,0,C++,3609,238,630,513
ShadowsocksX-NG,Next Generation of ShadowsocksX,https://github.com/shadowsocks/ShadowsocksX-NG,10-06-2016,3187,29-10-2024,124,Swift,64,30,1356,1048
Python,My Python Examples,https://github.com/geekcomputers/Python,30-11-2011,4841,28-02-2025,2,Python,1636,0,443,140
engineering-blogs,A curated list of engineering blogs,https://github.com/kilimchoi/engineering-blogs,13-06-2015,3550,21-08-2024,193,Ruby,681,0,96,74
chatbox,"User-friendly Desktop Client App for AI Models/LLMs (GPT, Claude, Gemini, Ollama...)",https://github.com/Bin-Huang/chatbox,06-03-2023,727,24-02-2025,6,TypeScript,53,47,1850,1298
siyuan,"A privacy-first, self-hosted, fully open source personal knowledge management software, written in typescript and golang.",https://github.com/siyuan-note/siyuan,30-08-2020,1645,02-03-2025,0,TypeScript,406,746,13682,13344
harness,"Harness Open Source is an end-to-end developer platform with Source Control Management, CI/CD Pipelines, Hosted Developer Environments, and Artifact Registries.",https://github.com/harness/harness,07-02-2014,4041,02-03-2025,0,Go,1043,51,1991,1920
cline,"Autonomous coding agent right in your IDE, capable of creating/editing files, executing commands, using the browser, and more with your permission every step of the way.",https://github.com/cline/cline,06-07-2024,239,02-03-2025,0,TypeScript,183,50,984,594
gpt-pilot,The first real AI developer,https://github.com/Pythagora-io/gpt-pilot,16-08-2023,564,14-02-2025,16,Python,395,0,544,301
awesome-awesomeness,A curated list of awesome awesomeness,https://github.com/bayandin/awesome-awesomeness,08-07-2014,3890,02-06-2024,273,Ruby,197,0,68,52
zsh-autosuggestions,Fish-like autosuggestions for zsh,https://github.com/zsh-users/zsh-autosuggestions,26-10-2013,4145,26-11-2024,96,Shell,114,0,604,453
material-design-lite,Material Design Components in HTML/CSS/JS,https://github.com/google/material-design-lite,14-01-2015,3700,22-07-2024,223,HTML,655,14,2190,1812
portainer,Making Docker and Kubernetes management easy.,https://github.com/portainer/portainer,19-05-2016,3209,28-02-2025,2,TypeScript,4777,138,5783,5235
polars,"Dataframes powered by a multithreaded, vectorized query engine, written in Rust",https://github.com/pola-rs/polars,13-05-2020,1754,02-03-2025,0,Rust,10411,203,9984,7779
LLM101n,LLM101n: Let's build a Storyteller,https://github.com/karpathy/LLM101n,27-05-2024,279,01-08-2024,213,N/A,0,0,0,0
HEU_KMS_Activator,Sem descrição,https://github.com/zbezj/HEU_KMS_Activator,23-06-2019,2079,02-01-2025,59,N/A,0,40,160,24
crawl4ai,🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper,https://github.com/unclecode/crawl4ai,09-05-2024,297,02-03-2025,0,Python,48,0,485,422
How-To-Ask-Questions-The-Smart-Way,本文原文由知名 Hacker Eric S. Raymond 所撰寫，教你如何正確的提出技術問題並獲得你滿意的答案。,https://github.com/ryanhanwu/How-To-Ask-Questions-The-Smart-Way,28-03-2015,3627,01-01-2025,60,JavaScript,98,0,27,20
